经典频道,#genre#
搞笑配音,http://175.178.182.213:80/douyu.php?id=9446117
MV欣赏,http://175.178.182.213:80/douyu.php?id=10469362
CCTV风云音乐,http://111.48.246.74/000000001000PLTV/88888888/224/3221230089/1.m3u8
CHC动作电影,http://111.48.246.74/000000001000PLTV/88888888/224/3221230434/1.m3u8
CHC家庭影院,http://111.48.246.74/000000001000PLTV/88888888/224/3221230481/1.m3u8
CHC影迷电影,http://111.48.246.74/000000001000PLTV/88888888/224/3221230483/1.m3u8
重温经典,http://198.204.228.26/live/cwjd.m3u8
风云剧场,http://198.204.228.26/live/fyjc.m3u8
第一剧场,http://111.48.246.74/000000001000PLTV/88888888/224/3221230488/1.m3u8
都市剧场,http://111.48.246.74/000000001000PLTV/88888888/224/3221230607/1.m3u8
怀旧剧场,http://111.48.246.74/000000001000PLTV/88888888/224/3221230091/1.m3u8
爱情喜剧,http://gslbserv.itv.cmvideo.cn:80/000000001000/8393829412396288037/1.m3u8?channel-id=ystenlive&Contentid=8393829412396288037&livemode=1&stbId=003901FF0001181003FC08A5C8C6C037&userToken=85a5a98cdcab4d800a8ec29a9d917e8d10vv&usergroup=g10045200000&version=1.0&owaccmark=8393829412396288037&owchid=ystenlive&owsid=7951969344461671826
超级电视剧,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000004000024993&livemode=1&stbId=yu&mode=1
超级电影,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=1000000004000002120&livemode=1&stbId=yu&mode=1
古装剧场,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=6859053933687922163&livemode=1&stbId=yu&mode=1
中国功夫,http://gslbserv.itv.cmvideo.cn:80/000000001000/5897056882324761054/1.m3u8?channel-id=ystenlive&Contentid=5897056882324761054&livemode=1&stbId=003901FF0001181003FC08A5C8C6C037&userToken=85a5a98cdcab4d800a8ec29a9d917e8d10vv&usergroup=g10045200000&version=1.0&owaccmark=5897056882324761054&owchid=ystenlive&owsid=7951969344461800735
凤凰中文,http://111.48.34.138/000000001000PLTV/88888888/224/3221230647/1.m3u8
百视通电影1,http://111.48.246.74/000000001000PLTV/88888888/224/3221230638/1.m3u8
百视通电影2,http://111.48.246.74/000000001000PLTV/88888888/224/3221230640/1.m3u8
百视通电影3,http://111.48.246.74/000000001000PLTV/88888888/224/3221230642/1.m3u8
百视通电影4,http://111.48.246.74/000000001000PLTV/88888888/224/3221230648/1.m3u8
百视通菜谱,http://111.48.246.74/000000001000PLTV/88888888/224/3221230650/1.m3u8
百视通动画,http://111.48.246.74/000000001000PLTV/88888888/224/3221230652/1.m3u8
百视通游戏,http://111.48.246.74/000000001000PLTV/88888888/224/3221230654/1.m3u8
百视通电影5,http://111.48.246.74/000000001000PLTV/88888888/224/3221230658/1.m3u8
百视通电影6,http://111.48.246.74/000000001000PLTV/88888888/224/3221230664/1.m3u8
百视通电影7,http://111.48.246.74/000000001000PLTV/88888888/224/3221230675/1.m3u8
百视通电影8,http://111.48.246.74/000000001000PLTV/88888888/224/3221230679/1.m3u8
百视通电影9,http://111.48.246.74/000000001000PLTV/88888888/224/3221230681/1.m3u8
百视通电影11,http://111.48.246.74/000000001000PLTV/88888888/224/3221230683/1.m3u8
百视通电影14,http://111.48.246.74/000000001000PLTV/88888888/224/3221230691/1.m3u8
央视频道,#genre#
CCTV1,http://111.48.246.74/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV2,http://111.48.246.74/000000001000PLTV/88888888/224/3221230359/1.m3u8
CCTV3,http://111.48.246.74/000000001000PLTV/88888888/224/3221230150/1.m3u8
CCTV4,http://111.48.246.74/000000001000PLTV/88888888/224/3221229862/1.m3u8
CCTV4K,http://111.48.246.74/000000001000PLTV/88888888/224/3221230571/1.m3u8
CCTV5,http://111.48.246.74/000000001000PLTV/88888888/224/3221230165/1.m3u8
CCTV5+,http://111.48.246.74/000000001000PLTV/88888888/224/3221230455/1.m3u8
CCTV6,http://111.48.246.74/000000001000PLTV/88888888/224/3221230154/1.m3u8
CCTV7,http://111.48.246.74/000000001000PLTV/88888888/224/3221229895/1.m3u8
CCTV8,http://111.48.246.74/000000001000PLTV/88888888/224/3221230169/1.m3u8
CCTV9,http://111.48.246.74/000000001000PLTV/88888888/224/3221229864/1.m3u8
CCTV10,http://111.48.246.74/000000001000PLTV/88888888/224/3221229874/1.m3u8
CCTV11,http://111.48.246.74/000000001000PLTV/88888888/224/3221229869/1.m3u8
CCTV12,http://111.48.246.74/000000001000PLTV/88888888/224/3221229897/1.m3u8
CCTV13,http://111.48.246.74/000000001000PLTV/88888888/224/3221230493/1.m3u8
CCTV14,http://111.48.246.74/000000001000PLTV/88888888/224/3221229868/1.m3u8
CCTV15,http://111.48.246.74/000000001000PLTV/88888888/224/3221229861/1.m3u8
CCTV17,http://111.48.246.74/000000001000PLTV/88888888/224/3221229831/1.m3u8
CCTV地理世界,http://111.48.246.74/000000001000PLTV/88888888/224/3221230072/1.m3u8
CCTV电视指南,http://111.48.246.74/000000001000PLTV/88888888/224/3221230078/1.m3u8
CCTV高尔夫网球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230085/1.m3u8
CCTV央视台球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230173/1.m3u8
CCTV兵器科技,http://111.48.246.74/000000001000PLTV/88888888/224/3221230162/1.m3u8
CCTV风云足球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230482/1.m3u8
兵器科技,http://39.136.1.100:6610/170000001115/UmaiCHAN638077907bdcd/1.m3u8?m3u8_level=2
地理世界,http://39.136.1.100:6610/170000001115/UmaiCHAN638077a61f4f3/1.m3u8?m3u8_level=2
北京卡酷,http://39.136.1.100:6610/170000001115/UmaiCHAN164297BESTVSMGSMG9/1.m3u8?m3u8_level=2
风云足球,http://39.136.1.100:6610/170000001115/UmaiCHAN638077160c04a/1.m3u8?m3u8_level=2
多彩文体,http://111.48.246.74/000000001000PLTV/88888888/224/3221230553/1.m3u8
多彩文体4K,http://111.48.246.74/000000001000PLTV/88888888/224/3221230646/1.m3u8
武术世界,http://111.48.246.74/000000001000PLTV/88888888/224/3221230549/1.m3u8
卫视频道,#genre#
湖南卫视4K,http://111.48.246.74/000000001000PLTV/88888888/224/3221230606/1.m3u8
安徽卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230505/1.m3u8
北京卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230501/1.m3u8
兵团卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230661/1.m3u8
重庆卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230139/1.m3u8
东南卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230507/1.m3u8
甘肃卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230521/1.m3u8
广东卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230503/1.m3u8
