江苏电信,#genre#
CCTV1,http://17355035xm.iask.in:4022/rtp/239.49.8.19:9614?$江苏电信
CCTV2,http://17355035xm.iask.in:4022/rtp/239.49.8.50:9802?$江苏电信
CCTV4,http://17355035xm.iask.in:4022/rtp/239.49.8.51:9806?$江苏电信
CCTV5,http://17355035xm.iask.in:4022/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://17355035xm.iask.in:4022/rtp/239.49.8.18:9610?$江苏电信
CCTV7,http://17355035xm.iask.in:4022/rtp/239.49.1.254:6000?$江苏电信
CCTV9,http://17355035xm.iask.in:4022/rtp/239.49.8.53:9814?$江苏电信
CCTV10,http://17355035xm.iask.in:4022/rtp/239.49.8.54:9818?$江苏电信
CCTV11,http://17355035xm.iask.in:4022/rtp/239.49.1.11:6000?$江苏电信
CCTV12,http://17355035xm.iask.in:4022/rtp/239.49.8.55:9822?$江苏电信
CCTV14,http://17355035xm.iask.in:4022/rtp/239.49.8.56:9826?$江苏电信
CCTV15,http://17355035xm.iask.in:4022/rtp/239.49.1.15:6000?$江苏电信
CCTV17,http://17355035xm.iask.in:4022/rtp/239.49.8.52:9810?$江苏电信
安徽卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.80:8000?$江苏电信
北京卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.11:9414?$江苏电信
重庆卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.57:9830?$江苏电信
东方卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.17:9606?$江苏电信
东南卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.112:8000?$江苏电信
广东卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.13:9422?$江苏电信
贵州卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.49:8000?$江苏电信
海南卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.83:8000?$江苏电信
河北卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.114:8000?$江苏电信
河南卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.29:8000?$江苏电信
黑龙江卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.14:9426?$江苏电信
湖北卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.8:9632?$江苏电信
湖南卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.12:9418?$江苏电信
吉林卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.113:8000?$江苏电信
江苏卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.16:9602?$江苏电信
江西卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.111:8000?$江苏电信
辽宁卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.48:8000?$江苏电信
山东卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.7:9306?$江苏电信
深圳卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.15:9430?$江苏电信
四川卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.110:8000?$江苏电信
天津卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.35:8620?$江苏电信
云南卫视,http://17355035xm.iask.in:4022/rtp/239.49.0.177:8000?$江苏电信
浙江卫视,http://17355035xm.iask.in:4022/rtp/239.49.8.20:9618?$江苏电信
第一剧场,http://17355035xm.iask.in:4022/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://17355035xm.iask.in:4022/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://17355035xm.iask.in:4022/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://17355035xm.iask.in:4022/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://17355035xm.iask.in:4022/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://17355035xm.iask.in:4022/rtp/239.49.8.87:8000?$江苏电信
江苏新闻,http://17355035xm.iask.in:4022/rtp/239.49.8.120:8000?$江苏电信
江苏城市,http://17355035xm.iask.in:4022/rtp/239.49.8.107:8000?$江苏电信
江苏教育,http://17355035xm.iask.in:4022/rtp/239.49.8.122:8000?$江苏电信
江苏体育,http://17355035xm.iask.in:4022/rtp/239.49.8.117:8000?$江苏电信
江苏影视,http://17355035xm.iask.in:4022/rtp/239.49.8.118:8000?$江苏电信
江苏综艺,http://17355035xm.iask.in:4022/rtp/239.49.8.108:8000?$江苏电信
CCTV1,http://heilin.fun:8686/rtp/239.49.8.19:9614?$江苏电信
CCTV2,http://heilin.fun:8686/rtp/239.49.8.50:9802?$江苏电信
CCTV4,http://heilin.fun:8686/rtp/239.49.8.51:9806?$江苏电信
CCTV5,http://heilin.fun:8686/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://heilin.fun:8686/rtp/239.49.8.18:9610?$江苏电信
CCTV7,http://heilin.fun:8686/rtp/239.49.1.254:6000?$江苏电信
CCTV9,http://heilin.fun:8686/rtp/239.49.8.53:9814?$江苏电信
CCTV10,http://heilin.fun:8686/rtp/239.49.8.54:9818?$江苏电信
CCTV11,http://heilin.fun:8686/rtp/239.49.1.11:6000?$江苏电信
CCTV12,http://heilin.fun:8686/rtp/239.49.8.55:9822?$江苏电信
CCTV14,http://heilin.fun:8686/rtp/239.49.8.56:9826?$江苏电信
CCTV15,http://heilin.fun:8686/rtp/239.49.1.15:6000?$江苏电信
CCTV17,http://heilin.fun:8686/rtp/239.49.8.52:9810?$江苏电信
安徽卫视,http://heilin.fun:8686/rtp/239.49.8.80:8000?$江苏电信
北京卫视,http://heilin.fun:8686/rtp/239.49.8.11:9414?$江苏电信
重庆卫视,http://heilin.fun:8686/rtp/239.49.8.57:9830?$江苏电信
东方卫视,http://heilin.fun:8686/rtp/239.49.8.17:9606?$江苏电信
东南卫视,http://heilin.fun:8686/rtp/239.49.8.112:8000?$江苏电信
广东卫视,http://heilin.fun:8686/rtp/239.49.8.13:9422?$江苏电信
贵州卫视,http://heilin.fun:8686/rtp/239.49.8.49:8000?$江苏电信
海南卫视,http://heilin.fun:8686/rtp/239.49.8.83:8000?$江苏电信
河北卫视,http://heilin.fun:8686/rtp/239.49.8.114:8000?$江苏电信
河南卫视,http://heilin.fun:8686/rtp/239.49.8.29:8000?$江苏电信
黑龙江卫视,http://heilin.fun:8686/rtp/239.49.8.14:9426?$江苏电信
湖北卫视,http://heilin.fun:8686/rtp/239.49.8.8:9632?$江苏电信
湖南卫视,http://heilin.fun:8686/rtp/239.49.8.12:9418?$江苏电信
吉林卫视,http://heilin.fun:8686/rtp/239.49.8.113:8000?$江苏电信
江苏卫视,http://heilin.fun:8686/rtp/239.49.8.16:9602?$江苏电信
江西卫视,http://heilin.fun:8686/rtp/239.49.8.111:8000?$江苏电信
辽宁卫视,http://heilin.fun:8686/rtp/239.49.8.48:8000?$江苏电信
山东卫视,http://heilin.fun:8686/rtp/239.49.8.7:9306?$江苏电信
深圳卫视,http://heilin.fun:8686/rtp/239.49.8.15:9430?$江苏电信
四川卫视,http://heilin.fun:8686/rtp/239.49.8.110:8000?$江苏电信
天津卫视,http://heilin.fun:8686/rtp/239.49.8.35:8620?$江苏电信
云南卫视,http://heilin.fun:8686/rtp/239.49.0.177:8000?$江苏电信
浙江卫视,http://heilin.fun:8686/rtp/239.49.8.20:9618?$江苏电信
第一剧场,http://heilin.fun:8686/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://heilin.fun:8686/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://heilin.fun:8686/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://heilin.fun:8686/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://heilin.fun:8686/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://heilin.fun:8686/rtp/239.49.8.87:8000?$江苏电信
江苏新闻,http://heilin.fun:8686/rtp/239.49.8.120:8000?$江苏电信
江苏城市,http://heilin.fun:8686/rtp/239.49.8.107:8000?$江苏电信
江苏教育,http://heilin.fun:8686/rtp/239.49.8.122:8000?$江苏电信
江苏体育,http://heilin.fun:8686/rtp/239.49.8.117:8000?$江苏电信
江苏影视,http://heilin.fun:8686/rtp/239.49.8.118:8000?$江苏电信
江苏综艺,http://heilin.fun:8686/rtp/239.49.8.108:8000?$江苏电信
CCTV1,http://121.226.125.49:7777/rtp/239.49.8.19:9614?$江苏电信
CCTV2,http://121.226.125.49:7777/rtp/239.49.8.50:9802?$江苏电信
CCTV4,http://121.226.125.49:7777/rtp/239.49.8.51:9806?$江苏电信
CCTV5,http://121.226.125.49:7777/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://121.226.125.49:7777/rtp/239.49.8.18:9610?$江苏电信
CCTV7,http://121.226.125.49:7777/rtp/239.49.1.254:6000?$江苏电信
CCTV9,http://121.226.125.49:7777/rtp/239.49.8.53:9814?$江苏电信
CCTV10,http://121.226.125.49:7777/rtp/239.49.8.54:9818?$江苏电信
CCTV11,http://121.226.125.49:7777/rtp/239.49.1.11:6000?$江苏电信
CCTV12,http://121.226.125.49:7777/rtp/239.49.8.55:9822?$江苏电信
CCTV14,http://121.226.125.49:7777/rtp/239.49.8.56:9826?$江苏电信
CCTV15,http://121.226.125.49:7777/rtp/239.49.1.15:6000?$江苏电信
CCTV17,http://121.226.125.49:7777/rtp/239.49.8.52:9810?$江苏电信
安徽卫视,http://121.226.125.49:7777/rtp/239.49.8.80:8000?$江苏电信
北京卫视,http://121.226.125.49:7777/rtp/239.49.8.11:9414?$江苏电信
重庆卫视,http://121.226.125.49:7777/rtp/239.49.8.57:9830?$江苏电信
东方卫视,http://121.226.125.49:7777/rtp/239.49.8.17:9606?$江苏电信
东南卫视,http://121.226.125.49:7777/rtp/239.49.8.112:8000?$江苏电信
广东卫视,http://121.226.125.49:7777/rtp/239.49.8.13:9422?$江苏电信
贵州卫视,http://121.226.125.49:7777/rtp/239.49.8.49:8000?$江苏电信
海南卫视,http://121.226.125.49:7777/rtp/239.49.8.83:8000?$江苏电信
河北卫视,http://121.226.125.49:7777/rtp/239.49.8.114:8000?$江苏电信
河南卫视,http://121.226.125.49:7777/rtp/239.49.8.29:8000?$江苏电信
黑龙江卫视,http://121.226.125.49:7777/rtp/239.49.8.14:9426?$江苏电信
湖北卫视,http://121.226.125.49:7777/rtp/239.49.8.8:9632?$江苏电信
湖南卫视,http://121.226.125.49:7777/rtp/239.49.8.12:9418?$江苏电信
吉林卫视,http://121.226.125.49:7777/rtp/239.49.8.113:8000?$江苏电信
江苏卫视,http://121.226.125.49:7777/rtp/239.49.8.16:9602?$江苏电信
江西卫视,http://121.226.125.49:7777/rtp/239.49.8.111:8000?$江苏电信
辽宁卫视,http://121.226.125.49:7777/rtp/239.49.8.48:8000?$江苏电信
山东卫视,http://121.226.125.49:7777/rtp/239.49.8.7:9306?$江苏电信
深圳卫视,http://121.226.125.49:7777/rtp/239.49.8.15:9430?$江苏电信
四川卫视,http://121.226.125.49:7777/rtp/239.49.8.110:8000?$江苏电信
天津卫视,http://121.226.125.49:7777/rtp/239.49.8.35:8620?$江苏电信
云南卫视,http://121.226.125.49:7777/rtp/239.49.0.177:8000?$江苏电信
浙江卫视,http://121.226.125.49:7777/rtp/239.49.8.20:9618?$江苏电信
第一剧场,http://121.226.125.49:7777/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://121.226.125.49:7777/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://121.226.125.49:7777/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://121.226.125.49:7777/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://121.226.125.49:7777/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://121.226.125.49:7777/rtp/239.49.8.87:8000?$江苏电信
江苏新闻,http://121.226.125.49:7777/rtp/239.49.8.120:8000?$江苏电信
江苏城市,http://121.226.125.49:7777/rtp/239.49.8.107:8000?$江苏电信
江苏教育,http://121.226.125.49:7777/rtp/239.49.8.122:8000?$江苏电信
江苏体育,http://121.226.125.49:7777/rtp/239.49.8.117:8000?$江苏电信
江苏影视,http://121.226.125.49:7777/rtp/239.49.8.118:8000?$江苏电信
江苏综艺,http://121.226.125.49:7777/rtp/239.49.8.108:8000?$江苏电信
CCTV1,http://kouki.pro:8888/rtp/239.49.8.19:9614?$江苏电信
CCTV2,http://kouki.pro:8888/rtp/239.49.8.50:9802?$江苏电信
CCTV4,http://kouki.pro:8888/rtp/239.49.8.51:9806?$江苏电信
CCTV5,http://kouki.pro:8888/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://kouki.pro:8888/rtp/239.49.8.18:9610?$江苏电信
CCTV7,http://kouki.pro:8888/rtp/239.49.1.254:6000?$江苏电信
CCTV9,http://kouki.pro:8888/rtp/239.49.8.53:9814?$江苏电信
CCTV10,http://kouki.pro:8888/rtp/239.49.8.54:9818?$江苏电信
CCTV11,http://kouki.pro:8888/rtp/239.49.1.11:6000?$江苏电信
CCTV12,http://kouki.pro:8888/rtp/239.49.8.55:9822?$江苏电信
CCTV14,http://kouki.pro:8888/rtp/239.49.8.56:9826?$江苏电信
CCTV15,http://kouki.pro:8888/rtp/239.49.1.15:6000?$江苏电信
CCTV17,http://kouki.pro:8888/rtp/239.49.8.52:9810?$江苏电信
安徽卫视,http://kouki.pro:8888/rtp/239.49.8.80:8000?$江苏电信
北京卫视,http://kouki.pro:8888/rtp/239.49.8.11:9414?$江苏电信
重庆卫视,http://kouki.pro:8888/rtp/239.49.8.57:9830?$江苏电信
东方卫视,http://kouki.pro:8888/rtp/239.49.8.17:9606?$江苏电信
东南卫视,http://kouki.pro:8888/rtp/239.49.8.112:8000?$江苏电信
广东卫视,http://kouki.pro:8888/rtp/239.49.8.13:9422?$江苏电信
贵州卫视,http://kouki.pro:8888/rtp/239.49.8.49:8000?$江苏电信
海南卫视,http://kouki.pro:8888/rtp/239.49.8.83:8000?$江苏电信
河北卫视,http://kouki.pro:8888/rtp/239.49.8.114:8000?$江苏电信
河南卫视,http://kouki.pro:8888/rtp/239.49.8.29:8000?$江苏电信
黑龙江卫视,http://kouki.pro:8888/rtp/239.49.8.14:9426?$江苏电信
