广播,#genre#
CCTV1-8M,http://dh.zf83.top:8188/rtp/233.50.201.222:5140
CCTV1-8M,http://dh.zf83.top:8188/rtp/233.50.200.247:5140
CCTV1-4M,http://dh.zf83.top:8188/rtp/233.50.200.143:5140
CCTV1-8M,http://dh.zf83.top:8188/rtp/233.50.200.130:5140
CCTV1-4M,http://dh.zf83.top:8188/rtp/233.50.200.99:5140
CCTV1-8M,http://dh.zf83.top:8188/rtp/233.50.201.118:5140
CCTV2-8M,http://dh.zf83.top:8188/rtp/233.50.201.119:5140
CCTV2-2M,http://dh.zf83.top:8188/rtp/233.50.200.100:5140
CCTV2-8M,http://dh.zf83.top:8188/rtp/233.50.200.25:5140
CCTV3-8M,http://dh.zf83.top:8188/rtp/233.50.201.196:5140
CCTV3-4M,http://dh.zf83.top:8188/rtp/233.50.200.107:5140
CCTV4-4M,http://dh.zf83.top:8188/rtp/233.50.200.101:5140
CCTV4-8M,http://dh.zf83.top:8188/rtp/233.50.202.38:5140
CCTV5-8M,http://dh.zf83.top:8188/rtp/233.50.201.197:5140
CCTV5-4M,http://dh.zf83.top:8188/rtp/233.50.200.108:5140
CCTV5+-8M,http://dh.zf83.top:8188/rtp/233.50.201.220:5140
CCTV6-4M,http://dh.zf83.top:8188/rtp/233.50.200.109:5140
CCTV6-8M,http://dh.zf83.top:8188/rtp/233.50.201.198:5140
CCTV7-8M,http://dh.zf83.top:8188/rtp/233.50.201.120:5140
CCTV7-2M,http://dh.zf83.top:8188/rtp/233.50.200.102:5140
CCTV7-8M,http://dh.zf83.top:8188/rtp/233.50.200.24:5140
CCTV8-8M,http://dh.zf83.top:8188/rtp/233.50.201.199:5140
CCTV8-4M,http://dh.zf83.top:8188/rtp/233.50.200.110:5140
CCTV9-4M,http://dh.zf83.top:8188/rtp/233.50.200.23:5140
CCTV9-8M,http://dh.zf83.top:8188/rtp/233.50.201.121:5140
CCTV10-8M,http://dh.zf83.top:8188/rtp/233.50.201.122:5140
CCTV10-4M,http://dh.zf83.top:8188/rtp/233.50.200.22:5140
CCTV11-8M,http://dh.zf83.top:8188/rtp/233.50.202.39:5140
CCTV12-8M,http://dh.zf83.top:8188/rtp/233.50.201.123:5140
CCTV12-4M,http://dh.zf83.top:8188/rtp/233.50.200.21:5140
CCTV13-8M,http://dh.zf83.top:8188/rtp/233.50.201.246:5140
CCTV13-2M,http://dh.zf83.top:8188/rtp/233.50.200.111:5140
CCTV13-4M,http://dh.zf83.top:8188/rtp/233.50.200.97:5140
CCTV14-8M,http://dh.zf83.top:8188/rtp/233.50.200.20:5140
CCTV14-8M,http://dh.zf83.top:8188/rtp/233.50.201.124:5140
CCTV14-4M,http://dh.zf83.top:8188/rtp/233.50.200.103:5140
CCTV15-8M,http://dh.zf83.top:8188/rtp/233.50.202.40:5140
CCTV15-4M,http://dh.zf83.top:8188/rtp/233.50.200.133:5140
CCTV16-8M,http://dh.zf83.top:8188/rtp/233.50.200.112:5140
CCTV16-8M,http://dh.zf83.top:8188/rtp/233.50.201.192:5140
