#鉴于酒店源的不实用性,本次最后一次更新。如果需要的话,请fork以后自行启用工作流程
最后更新时间2025-05-04 13:26,#genre#
虚情的爱,https://vd2.bdstatic.com/mda-mi1dd05gmhwejdwn/sc/cae_h264/1630576203346678103/mda-mi1dd05gmhwejdwn.mp4
央视频道,#genre#
CCTV1,http://27.46.125.111:808/hls/1/index.m3u8?$智慧光迅听说名字越长越好看
CCTV2,http://27.46.125.111:808/hls/2/index.m3u8?$智慧光迅听说名字越长越好看
CCTV3,http://27.46.125.111:808/hls/3/index.m3u8?$智慧光迅听说名字越长越好看
CCTV4,http://27.46.125.111:808/hls/4/index.m3u8?$智慧光迅听说名字越长越好看
CCTV5+,http://27.46.125.111:808/hls/16/index.m3u8?$智慧光迅听说名字越长越好看
CCTV6,http://27.46.125.111:808/hls/6/index.m3u8?$智慧光迅听说名字越长越好看
CCTV7,http://27.46.125.111:808/hls/7/index.m3u8?$智慧光迅听说名字越长越好看
CCTV8,http://27.46.125.111:808/hls/8/index.m3u8?$智慧光迅听说名字越长越好看
CCTV9,http://27.46.125.111:808/hls/9/index.m3u8?$智慧光迅听说名字越长越好看
CCTV10,http://27.46.125.111:808/hls/10/index.m3u8?$智慧光迅听说名字越长越好看
CCTV11,http://27.46.125.111:808/hls/11/index.m3u8?$智慧光迅听说名字越长越好看
CCTV12,http://27.46.125.111:808/hls/12/index.m3u8?$智慧光迅听说名字越长越好看
CCTV13,http://27.46.125.111:808/hls/13/index.m3u8?$智慧光迅听说名字越长越好看
CCTV14,http://27.46.125.111:808/hls/14/index.m3u8?$智慧光迅听说名字越长越好看
CCTV15,http://27.46.125.111:808/hls/15/index.m3u8?$智慧光迅听说名字越长越好看

卫视频道,#genre#
安徽卫视,http://27.46.125.111:808/hls/35/index.m3u8?$智慧光迅听说名字越长越好看
北京卫视,http://27.46.125.111:808/hls/36/index.m3u8?$智慧光迅听说名字越长越好看
重庆卫视,http://27.46.125.111:808/hls/47/index.m3u8?$智慧光迅听说名字越长越好看
东南卫视,http://27.46.125.111:808/hls/49/index.m3u8?$智慧光迅听说名字越长越好看
广东卫视,http://27.46.125.111:808/hls/19/index.m3u8?$智慧光迅听说名字越长越好看
贵州卫视,http://27.46.125.111:808/hls/43/index.m3u8?$智慧光迅听说名字越长越好看
河北卫视,http://27.46.125.111:808/hls/48/index.m3u8?$智慧光迅听说名字越长越好看
河南卫视,http://27.46.125.111:808/hls/45/index.m3u8?$智慧光迅听说名字越长越好看
黑龙江卫视,http://27.46.125.111:808/hls/42/index.m3u8?$智慧光迅听说名字越长越好看
湖北卫视,http://27.46.125.111:808/hls/40/index.m3u8?$智慧光迅听说名字越长越好看
湖南卫视,http://27.46.125.111:808/hls/30/index.m3u8?$智慧光迅听说名字越长越好看
江苏卫视,http://27.46.125.111:808/hls/32/index.m3u8?$智慧光迅听说名字越长越好看
江西卫视,http://27.46.125.111:808/hls/39/index.m3u8?$智慧光迅听说名字越长越好看
山东卫视,http://27.46.125.111:808/hls/38/index.m3u8?$智慧光迅听说名字越长越好看
上海卫视,http://27.46.125.111:808/hls/34/index.m3u8?$智慧光迅听说名字越长越好看
深圳卫视,http://27.46.125.111:808/hls/33/index.m3u8?$智慧光迅听说名字越长越好看
四川卫视,http://27.46.125.111:808/hls/44/index.m3u8?$智慧光迅听说名字越长越好看
天津卫视,http://27.46.125.111:808/hls/37/index.m3u8?$智慧光迅听说名字越长越好看
云南卫视,http://27.46.125.111:808/hls/46/index.m3u8?$智慧光迅听说名字越长越好看
浙江卫视,http://27.46.125.111:808/hls/31/index.m3u8?$智慧光迅听说名字越长越好看
省市频道,#genre#
广东公共,http://27.46.125.111:808/hls/22/index.m3u8?$智慧光迅听说名字越长越好看
广东体育,http://27.46.125.111:808/hls/28/index.m3u8?$智慧光迅听说名字越长越好看
广东影视,http://27.46.125.111:808/hls/26/index.m3u8?$智慧光迅听说名字越长越好看
广东珠江,http://27.46.125.111:808/hls/20/index.m3u8?$智慧光迅听说名字越长越好看
其他频道,#genre#
6+,http://27.46.125.111:808/hls/17/index.m3u8?$智慧光迅听说名字越长越好看
8+,http://27.46.125.111:808/hls/18/index.m3u8?$智慧光迅听说名字越长越好看
CCVT5,http://27.46.125.111:808/hls/5/index.m3u8?$智慧光迅听说名字越长越好看
南山有线,http://113.64.147.79:8081/hls/18/index.m3u8?$智慧光迅听说名字越长越好看
